Артикул;Наименование;ЦенаСоСкидкой;Цена;Скидка;ОстатокНаСкладе
0200;0200 GIPFEL Подставка под горячее ECO 16х16х0,6см Материал: Силикон FDA;1 160;1656;30;144
0201;0201 GIPFEL Подставка под горячее ECO 15,7х15,7х0,7см Материал: Силикон FDA;1 200;1714;30;144
0205;0205 GIPFEL Пластик (силикон) подставка жаростойкая, 23*20*0.8cm, цвет оранжевый;1 830;2813;35;72
0206;0206 GIPFEL Пластик (силикон) подставка жаростойкая, 23*20*0.8cm, цвет фиолетовы;1 830;2813;35;46
0207;0207 GIPFEL Пластик (силикон) подставка жаростойкая, 23*20*0.8cm, цвет зеленый;1 830;2813;35;17
0208;0208 GIPFEL Пластик (силикон) подставка жаростойк, 23*20*0.8cm,  ярко синий;1 830;2813;35;47
0209;0209 GIPFEL Пластик (силикон) подставка круглая, 17*17*0.8cm, цвет - красный;1 620;2485;35;80
0210;0210 GIPFEL Пластик (силикон) подставка круглая, 17*17*0.8cm, цвет - фиолетовый;1 620;2485;35;32
0211;0211 GIPFEL Пластик (силикон) подставка круглая, 17*17*0.8cm, цвет - зеленый;1 620;2485;35;14
0212;0212 GIPFEL Пластик (силикон) подставка круглая, 17*17*0.8cm, цвет - оранжевый;1 620;2485;35;52
0213;0213 GIPFEL Пластик (силикон) подставка квадрат, 17*17*0.8cm, цвет - фиолетовый;1 620;2485;35;64
0214;0214 GIPFEL Пластик (силикон) подставка квадрат, 17*17*0.8cm, цвет - красный;1 620;2485;35;14
0215;0215 GIPFEL Пластик (силикон) подставка квадрат, 17*17*0.8cm, цвет - зеленый;1 620;2485;35;9
0216;0216 GIPFEL Пластик (силикон) подставка квадрат, 17*17*0.8cm, цвет - оранжевый;1 620;2485;35;23
0217;0217 GIPFEL Чайник складной IVA 1,5л 16,8х14,8см синий Материал: Силикон, нерж.с;15 290;23519;35;11
0218;0218 GIPFEL Лопатка с прорезями, 34 см, нержавеющая сталь, ручка покрыта пластик;2 800;5598;50;127
0219;0219 GIPFEL Шумовка (скимер) , 33 см, нержавеющая сталь, ручка покрыта пластиком;2 960;5912;50;100
0220;0220 GIPFEL Картофелемялка , 30,5 см, нержавеющая сталь, ручка покрыта пластиком;3 080;6155;50;146
0221;0221 GIPFEL Ложка ZING 33,5см (силикон+нерж. сталь);2 760;5526;50;130
0222;0222 GIPFEL Половник, нержавеющая сталь, ручка покрыта пластиком;2 900;5798;50;61
0223;0223 GIPFEL Ложка с прорезями ZING 33,5см (силикон+нерж. сталь);2 950;5898;50;139
0224;0224 GIPFEL Коврик для выпечки на противне JACONDA 33х23см силиконовый антипригарный фиолетовый Сили;1 860;2856;35;14
0225;0225 GIPFEL Коврик для выпечки на противне JACONDA 33х23см силиконовый антипригарный зеленый Силикон;1 860;2856;35;5
0226;0226 GIPFEL Перчатка силиконовая RIAM 28х18см;2 400;3699;35;10
0227;0227 GIPFEL Набор из 7 предметов (двойной силикон);11 160;17165;35;1
0228;0228 GIPFEL Ситечко VITA 10,4х12 см  (нерж. сталь, силикон);4 260;6555;35;16
0229;0229 GIPFEL Подставка под горячее с магнитом VITA 19,5х18х0,8см синяя: Силиликон;4 530;6969;35;25
0230;0230 GIPFEL Подставка под горячее с магнитом VITA 19,5х18х0,8см красная: Сил;4 530;6969;35;36
0233;0233 GIPFEL Лопатка с прорезями LOLLIPOP 31,9х8х5см (нейлон, силикон);2 180;3356;35;9
0236;0236 GIPFEL Ложка с прорезями, 30.9*6.9*4.7cm пластик;1 590;3170;50;79
0237;0237 GIPFEL Шумовка (скимер),  31.9*10.6*7.8cm пластик;2 260;3470;35;9
0238;0238 GIPFEL Ложка для спагетти (скимер),Size:29.4*5.7*3.3cm  пластик;1 590;3170;50;55
0239;0239 GIPFEL Лопатка с прорезями LOLLIPOP 31,1х7,3х2,7см (нейлон, силикон);2 060;3170;35;9
0241;0241 GIPFEL Шумовка (скимер),  32*10 cm пластик;2 210;4427;50;20
0246;0246 GIPFEL Кисть , силикон, Size: 29*4cm;2 510;3856;35;18
0247;0247 GIPFEL Лопатка с прорезями( для рыбы) ,Size:37*15.5 cm  пластик;2 910;5812;50;45
0248;0248 GIPFEL Ложка с прорезями, :33*6.5 cm пластик;2 340;4670;50;58
0250;0250 GIPFEL Лопатка  ,32.2*6*1.3cm , силикон, нерж;2 180;3356;35;8
0251;0251 GIPFEL Лопатка с прорезями ,33.2*8.3*3.4cm , силикон, нерж;2 350;3613;35;10
0254;0254 GIPFEL Кисточка MOMENTOS 29,5х4х1,3см (нерж. сталь, силикон);2 180;3356;35;19
0256;0256 GIPFEL Ложка для спагетти 32х6,2см оранжевая Материал:нейлон с силиконовой;2 210;3399;35;16
0265;0265 GIPFEL Набор кухонных инструментов GESSER 5пр Цвет: зеленый, Материал: сили;7 770;11952;35;2
0268;0268 GIPFEL Воронка BONITA складная силиконовая, диаметр 11см. Цвет: розовый;1 060;1514;30;144
0269;0269 GIPFEL Ланч-бокс RAMIRA складной с одним отделением с герметичной крышкой 2;3 120;4798;35;4
0270;0270 GIPFEL Ланч-бокс RAMIRA складной с тремя отделениями с герметичной крышкой;4 710;7240;35;9
0271;0271 GIPFEL Набор RAMIRA из 4 складных ланч-боксов с герметичными крышками, 350м;8 880;13666;35;26
0276;"0276 GIPFEL Лопатка силиконовая ""OCTAVA"" :24*5.3*1.3 cm,";1 060;1514;30;48
0277;0277 GIPFEL Шумовка (скимер) 33.4*11.1*4.5cm , нейлон;1 500;2313;35;3
0279;0279 GIPFEL Ллопатка  CONGRESS 32*9.2*4.3cm (нейлон);1 340;2056;35;5
0280;0280 GIPFEL Ложка сервировочная 31.8*7.2*3.5cm CONGRESS (нейлон);1 300;1999;35;2
0282;0282 GIPFEL Ложка для спагетти CONGRESS  31.8*7.2*6cm( нейлон);1 410;2171;35;37
