Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0200;Подставка под горячее ECO 16х16х0,6см. Материал: силикон;405,00;руб.;шт;284,00;руб.;шт;Акция -30%;50;N;RUB
0201;Подставка под горячее ECO 15,7х15,7х0,7см. Материал: силикон;423,00;руб.;шт;297,00;руб.;шт;Акция -30%;50;N;RUB
0202;Подставка под горячее ECO 18х18х0,7см. Материал: силикон;515,00;руб.;шт;361,00;руб.;шт;Акция -30%;50;N;RUB
0203;Подставка под горячее ECO 19,5х16,7х0,5см Материал: Силикон FDA;528,00;руб.;шт;370,00;руб.;шт;Акция -30%;50;N;RUB
0204;Подставка под горячее ECO 15,3х0,45см. Материал: силикон;399,00;руб.;шт;280,00;руб.;шт;Акция -30%;50;N;RUB
0205;Подставка под горячее GLUM 23х20х0,8см оранжевая Материал: Силикон FDA;735,00;руб.;шт;368,00;руб.;шт;Акция -50%;50;N;RUB
0206;Подставка под горячее GLUM 23х20х0,8см фиолетовая Материал: Силикон FDA;735,00;руб.;шт;368,00;руб.;шт;Акция -50%;50;N;RUB
0208;Подставка под горячее GLUM 23х20х0,8см синяя Материал: Силикон FDA;735,00;руб.;шт;368,00;руб.;шт;Акция -50%;50;N;RUB
0209;Подставка под горячее GLUM 17х17х0,8см красная Материал: Силикон FDA;649,00;руб.;шт;455,00;руб.;шт;Акция -30%;50;N;RUB
0210;Подставка под горячее GLUM 17х17х0,8см фиолетовая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0211;Подставка под горячее GLUM 17х17х0,8см зеленая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0212;Подставка под горячее GLUM 17х17х0,8см оранжевая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0213;Подставка под горячее GLUM 17х17х0,8см фиолетовая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0214;Подставка под горячее GLUM 17х17х0,8см красная Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0215;Подставка под горячее GLUM 17х17х0,8см зеленая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0216;Подставка под горячее GLUM 17х17х0,8см оранжевая Материал: Силикон FDA;649,00;руб.;шт;325,00;руб.;шт;Акция -50%;50;N;RUB
0217;Чайник складной IVA 1,5л 16,8х14,8см синий Материал: Силикон, нерж.сталь;6146,00;руб.;шт;1499,00;руб.;шт;Распродажа;50;N;RUB
0218;Лопатка с прорезями ZING 34см (силикон+нерж. сталь);1463,00;руб.;шт;732,00;руб.;шт;Акция -50%;50;N;RUB
0219;Шумовка ZING 33см (силикон+нерж. сталь);1544,00;руб.;шт;772,00;руб.;шт;Акция -50%;50;N;RUB
0220;Толкушка ZING 30,5см (силикон+нерж. сталь);1607,00;руб.;шт;804,00;руб.;шт;Акция -50%;50;N;RUB
0221;Ложка ZING 33,5см (силикон+нерж. сталь);1444,00;руб.;шт;722,00;руб.;шт;Акция -50%;50;N;RUB
0222;Половник ZING 33,5см (силикон+нерж. сталь);1515,00;руб.;шт;758,00;руб.;шт;Акция -50%;50;N;RUB
0223;Ложка с прорезями ZING 33,5см (силикон+нерж. сталь);1539,00;руб.;шт;770,00;руб.;шт;Акция -50%;50;N;RUB
0226;Перчатка силиконовая RIAM 28х18см;966,00;руб.;шт;499,00;руб.;шт;Распродажа;50;N;RUB
0228;Ситечко VITA 10,4х12 см  (нерж. сталь, силикон);1712,00;руб.;шт;856,00;руб.;шт;Акция -50%;50;N;RUB
0229;Подставка под горячее с магнитом VITA 19,5х18х0,8см синяя Материал: Силикон FDA;1820,00;руб.;шт;790,00;руб.;шт;Распродажа;50;N;RUB
0230;Подставка под горячее с магнитом VITA 19,5х18х0,8см красная Материал: Силикон FDA;1820,00;руб.;шт;790,00;руб.;шт;Распродажа;50;N;RUB
0236;Ложка с прорезями LOLLIPOP 30,9х6,9х4,7см (нейлон, силикон);827,00;руб.;шт;497,00;руб.;шт;Акция -40%;50;N;RUB
0237;Ложка с прорезями LOLLIPOP 31,9х10,6х7,8см (нейлон, силикон);909,00;руб.;шт;546,00;руб.;шт;Акция -40%;50;N;RUB
0238;Ложка для спагетти LOLLIPOP 29,4х5,7х3,3см (нейлон, силикон);827,00;руб.;шт;497,00;руб.;шт;Акция -40%;50;N;RUB
0240;Кисть силиконовая для масла IRIS 16,1х3,2см, FDA, 4 цвета;504,00;руб.;шт;303,00;руб.;шт;Акция -40%;50;N;RUB
0241;Шумовка силиконовая 24,8х4,9см голубая Материал:нейлон с силиконовой overmolded,s/s 430,ручки FDA силикона;1092,00;руб.;шт;599,00;руб.;шт;Распродажа;50;N;RUB
0246;Кисточка силиконовая 29х4см красная Материал:нейлон с силиконовой overmolded,s/s 430,ручки FDA силикона;948,00;руб.;шт;499,00;руб.;шт;Распродажа;50;N;RUB
0247;Лопатка с прорезями силиконовая для рыбы 37х15,5см розовая Материал:нейлон с силиконовой overmolded,s/s 430,ручки FDA силикона;1434,00;руб.;шт;799,00;руб.;шт;Распродажа;50;N;RUB
0248;Шумовка силиконовая 33х6,5см серая Материал:нейлон с силиконовой overmolded,s/s 430,ручки FDA силикона;1150,00;руб.;шт;499,00;руб.;шт;Распродажа;50;N;RUB
